Everyone but Trump
Counts of Adjectives
Word	Count
brightest	2
di-	1
compassionate	7
contractual	2
Asiatic	1
disarmament	1
repugnant	1
re-	1
U-2	1
slightest	2
absurd	4
vaguest	1
incentive	1
loof-	1
pers-	1
t-	1
backward	1
s-	1
ca-	1
bict-	1
Constitutional	1
illiterate	2
colored	2
Congressional	4
p-	1
indifferent	1
twentieth	1
hazardous	1
l949	1
desirable	1
deflationary	1
elementary	6
fed	1
undefensible	1
defensible	1
latest	5
wholesale	2
frantic	1
overdue	4
demoralized	1
coordinated	2
interdepartmental	1
discouraging	1
bodied	1
proc-	1
pronounced	1
unashamed	5
ad-	1
sustainable	1
colonial	1
explicit	2
Greek	1
just	1
vicious	2
autonomous	2
surprising	2
informational	1
dispassionate	1
ceremonial	1
usual	4
treacherous	1
pronged	1
sharper	1
recallable	1
Nicaraguan	1
manual	1
ballistic	10
emboldened	2
Different	4
medium	1
contemptible	1
counterproductive	3
bountiful	1
crude	3
remote	1
antisatellite	1
unimaginable	2
weaponry	2
Argentine	1
oppressive	1
generalized	1
fateful	3
awful	12
Real	1
things--	1
Presbyterian	1
unpolluted	1
cheap	15
insensitive	1
cynical	2
disadvantaged	9
Net	3
fiat	1
middle-	3
untouched	1
lopsided	1
attributable	1
Whose	2
handicapped	2
favorite	4
mean	1
spirited	1
hopeless	1
defenseless	1
inexcusable	2
shameful	1
fast	3
o.	1
subjective	2
mid	1
timely	1
disruptive	3
flat	4
tilted	1
cur	1
pathetic	1
dang	1
tangible	3
10-year	4
thirsty	1
grassroots	2
promising	2
odd	5
nuts	1
bacteriological	1
loopy	1
crooked	1
fancy	3
shameless	1
23-percent	1
reserved	1
untarnished	1
industrialized	6
unthinkable	1
endless	2
10-minute	1
formative	3
mature	3
cumulative	1
fifth	7
intellectual	5
19th	2
intelligent	5
supportive	13
German	1
whichever	1
unstable	2
intercontinental	6
delicate	2
tightwire	1
neonatal	1
Libyan	1
chemical	11
blunt	1
First	9
divided	6
unusual	2
electronic	3
caring	2
empty	5
plentiful	1
unprogrammed	1
fascinating	2
24-year	2
30-minute	1
tabloid	1
timid	1
preoccupied	1
rotten	1
terrific	8
unhappy	1
luckier	1
Interesting	1
nonacademic	1
cheapest	2
fearless	1
metropolitan	3
heavier	1
ample	1
prospective	2
monthly	1
quickest	1
medium-	2
considerable	1
corrective	2
nonpolitical	1
200th	2
glorious	1
justified	1
graphic	1
exemplary	1
knowledgeable	5
qualified--16	1
heroic	3
scenic	2
75-page	1
guaranteed	1
trivial	1
9.2-percent	1
5-percent	1
18-percent	1
annual	3
reputable	2
inconsistent	4
candid	3
forthright	1
unpublicized	1
Egyptian	3
applicable	1
metric	4
territorial	1
Taiwanese	1
.own	1
gray	1
super	5
transitional	2
disappointed	3
furious	1
forceful	1
Cambodian	2
antitrust	1
bona	1
delighted	9
62-year	1
40-billion	2
contra	2
hot	3
applied	1
Prolonged	1
modernized	2
nonprofit	1
fairest	1
yours	3
hemispheric	3
likable	1
lovable	1
dread	1
wrenching	1
electrical	1
detailed	7
parliamentary	1
sacred	7
dishonest	1
20to	1
misplaced	1
addicted	1
uncollected	1
experimental	1
Passionless	1
calmer	1
acid	1
furlough	1
permissive	1
extended	1
sympathetic	3
continued	1
agonizing	1
mistaken	3
undercover	1
degradable	1
exclusive	1
insolvable	1
wholesome	1
romantic	1
tender	1
30-year	2
High	3
slower	6
——to	1
magnificent	2
——my	1
——other	1
blank	4
prohibitive	1
Expensive	1
87-percent	3
lengthy	2
preexisting	2
vibrant	1
collaborative	4
respective	2
chronic	2
dramatic	5
part	1
abundant	2
phantom	1
contraceptive	3
Median	1
clearer	3
memorial	2
spontaneous	4
symbolic	1
material	1
Fast	1
advantageous	2
straightforward	4
counterfeit	3
humorous	3
broader	10
geopolitical	4
disparate	1
representative	1
silent	6
——just	1
Fourth	1
eighth	6
discretionary	5
rid	1
crippling	7
Crippling	1
tightest	1
Arabic	1
derisive	1
existent	1
Islamic	2
serial	3
thriving	1
chaotic	2
brazen	3
Saudi	1
delayed	1
Irish	2
Job	1
Make	1
upward	2
indisputable	1
premium	3
Lower	3
Indian	1
skeptical	3
That	1
firstborn	2
broken	4
7-point	1
plenty	2
five-	1
intrusive	4
